Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title
11/05/2018 00:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Sabra-Man in the High Castle - Season 3
11/05/2018 17:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Sabra-Man in the High Castle - Season 3
11/05/2018 18:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,The New Colossus-Man in the High Castle - Season 3
11/05/2018 19:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,History Ends-Man in the High Castle - Season 3
11/05/2018 20:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Excess Animus-Man in the High Castle - Season 3
11/05/2018 21:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Excess Animus-Man in the High Castle - Season 3
11/05/2018 21:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Kasumi (Through the Mists)-Man in the High Castle - Season 3
11/05/2018 23:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Baku-Man in the High Castle - Season 3
11/06/2018 19:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Baku-Man in the High Castle - Season 3
11/06/2018 20:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Jahr Null-Man in the High Castle - Season 3
11/08/2018 20:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,fr,La vita di Adele - Blue is the Warmest Colour
08/15/2019 21:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Nudisti Per Caso
08/15/2019 21:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Pilot-House
08/15/2019 22:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Paternity-House
08/15/2019 22:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Occam's Razor-House
08/20/2019 20:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Maternity-House
08/20/2019 20:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Damned If You Do-House
08/20/2019 21:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,The Socratic Method-House
08/20/2019 22:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Fidelity-House
08/20/2019 23:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Poison-House
08/21/2019 19:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Poison-House
08/21/2019 20:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,DNR-House
08/21/2019 20:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Histories-House
08/21/2019 21:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Detox-House
08/21/2019 22:00:00,Windows 10,Chrome 76.0.3809.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Sports Medicine-House
08/22/2019 21:00:00,Android9,,streaming,milano,it,BBBell_PPPoE_Customers,,SD,PRIME_SUBSCRIPTION,Feature,it-it,The Socratic Method-House
08/22/2019 22:00:00,Android9,,streaming,milano,it,BBBell_PPPoE_Customers,,SD,PRIME_SUBSCRIPTION,Feature,it-it,Sports Medicine-House
