"DeviceType","StartDate","EndDate","EventDuration","StartPosition","EndPosition","Title","Asin","BookLength","DeliveryType","NarrationSpeed","Bookmark","AudioType","AsinOwned","ListeningMode","Store","AppVersion","LocalTimezone"
"Audible for Android","31-JAN-2018","31-JAN-2018","553000","28676551","29229321","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","1999000","29229599","31228141","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","793000","31228141","32021985","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","5312000","32021985","-1","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","31000","0","30135","Harry Potter e il Prigioniero di Azkaban (Harry Potter 3)","B077HVX4WM","43823670","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","1267000","30135","1297108","Harry Potter e il Prigioniero di Azkaban (Harry Potter 3)","B077HVX4WM","43823670","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","107000","1297113","1403734","Harry Potter e il Prigioniero di Azkaban (Harry Potter 3)","B077HVX4WM","43823670","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","1557000","1403739","2960679","Harry Potter e il Prigioniero di Azkaban (Harry Potter 3)","B077HVX4WM","43823670","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","1292000","2962866","4255191","Harry Potter e il Prigioniero di Azkaban (Harry Potter 3)","B077HVX4WM","43823670","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","211000","4255242","4466214","Harry Potter e il Prigioniero di Azkaban (Harry Potter 3)","B077HVX4WM","43823670","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","31000","4466218","4496911","Harry Potter e il Prigioniero di Azkaban (Harry Potter 3)","B077HVX4WM","43823670","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
